CustomerID,Churn,Friction_Cluster,Friction_Segment,Explorer_Cluster,Explorer_Segment,Timing_Cluster,Timing_Segment
17850,1,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
13047,0,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
12583,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13748,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15100,1,3,High-Returner,0,Focused-Buyer,0,Weekday-Shopper
15291,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14688,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
17809,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15311,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
14527,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
16098,0,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
18074,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17420,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
16029,0,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
16250,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
12431,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
17511,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
17548,1,3,High-Returner,0,Focused-Buyer,0,Weekday-Shopper
13705,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13747,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13408,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
13767,0,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
17924,0,3,High-Returner,0,Focused-Buyer,0,Weekday-Shopper
13448,0,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
15862,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
15513,0,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
12791,1,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
16218,0,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
14045,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14307,0,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
17908,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17920,0,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
12838,0,1,Low-Support,1,Broad-Explorer,1,Weekend-Shopper
13255,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
16583,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
18085,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13758,0,0,High-Support,0,Focused-Buyer,1,Weekend-Shopper
13694,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
15983,0,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
14849,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
17968,1,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
16210,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17897,1,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
17377,0,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
16552,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17181,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17951,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14729,1,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
12748,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
15012,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
12868,1,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
17572,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14078,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14001,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
12662,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
15525,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
14237,1,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
17905,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15485,0,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
12433,0,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
16955,1,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
15350,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15605,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
18144,0,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
15922,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14594,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15165,1,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
14911,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
16456,1,0,High-Support,0,Focused-Buyer,1,Weekend-Shopper
17841,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
12472,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
17346,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
17643,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17873,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13093,1,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
12921,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
13468,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
17760,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
16928,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
16048,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
16274,1,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
14496,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14696,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
16539,0,0,High-Support,0,Focused-Buyer,0,Weekday-Shopper
17025,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13777,0,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
17690,0,1,Low-Support,1,Broad-Explorer,0,Weekday-Shopper
12947,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17460,0,3,High-Returner,0,Focused-Buyer,0,Weekday-Shopper
18229,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14142,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
17069,0,2,Serial-Canceller,0,Focused-Buyer,0,Weekday-Shopper
13065,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
14606,0,2,Serial-Canceller,1,Broad-Explorer,0,Weekday-Shopper
16835,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15235,1,0,High-Support,1,Broad-Explorer,0,Weekday-Shopper
13576,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
18011,1,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
13090,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
15694,0,1,Low-Support,0,Focused-Buyer,0,Weekday-Shopper
